DUID,BIDTYPE,IS_AUTOBIDDER,n_offers,avg_std_across_bands,total_distinct_values,std_pb1,std_pb5,std_pb10,n_distinct_pb1,n_distinct_pb5,n_distinct_pb10
LBB1,LOWERREG,False,18912,0.0,10,0.0,0.0,0.0,1,1,1
LVES1,LOWERREG,False,19390,32.47833751305505,18,0.0,8.675223706435299,0.0,1,2,1
MANNUMB1,LOWERREG,False,17858,49.09455206816476,19,0.0,0.15871015233177244,424.15817244507355,1,2,2
MREHA1,LOWERREG,False,13432,6.824624517466273,34,0.06221625535670894,5.826555318149268,0.0,2,5,1
PIBESS1,LOWERREG,False,19148,0.0,10,0.0,0.0,0.0,1,1,1
QBYNB1,LOWERREG,False,1796,9.041017337466995,18,0.0,11.718262776835303,0.0,1,2,1
RANGEB1,LOWERREG,False,14562,1.9485669070306664,18,0.0,0.6200212893810665,0.0,1,2,1
RESS1,LOWERREG,False,4798,1.9487030851013905,18,0.0,0.6200646203555851,0.0,1,2,1
RIVNB2,LOWERREG,False,16910,0.10200301610065932,19,0.0,0.025000739240357124,0.5000147848071356,1,2,2
TB2B1,LOWERREG,False,20086,7.402669160200024,18,0.09985132119691396,9.520236989830881,0.0,2,2,1
TIB1,LOWERREG,False,15206,0.0,10,0.0,0.0,0.0,1,1,1
ULPBESS1,LOWERREG,False,4,0.0,10,0.0,0.0,0.0,1,1,1
WANDB1,LOWERREG,False,13350,0.0,10,0.0,0.0,0.0,1,1,1
WDBESS1,LOWERREG,False,16350,0.0,10,0.0,0.0,0.0,1,1,1
WTAHB1,LOWERREG,False,3452,772.7874784808434,19,0.0,0.19018137609512575,7474.5009851974655,1,2,2
BLYTHB1,RAISE1SEC,False,6025,0.0,10,0.0,0.0,0.0,1,1,1
BULBES1,RAISE1SEC,False,7428,0.0,10,0.0,0.0,0.0,1,1,1
CAPBES1,RAISE1SEC,False,95,0.0,10,0.0,0.0,0.0,1,1,1
CHBESS1,RAISE1SEC,False,7104,46.77825842141094,16,0.0,14.806985238480944,46.97761663018339,1,2,2
DPNTB1,RAISE1SEC,False,8932,0.0,10,0.0,0.0,0.0,1,1,1
GREENB1,RAISE1SEC,False,7678,44.79603047039878,16,0.0,14.638110664793107,31.954643552932346,1,2,2
HBESS1,RAISE1SEC,False,9675,0.0,10,0.0,0.0,0.0,1,1,1
LBB1,RAISE1SEC,False,9455,0.0,10,0.0,0.0,0.0,1,1,1
LVES1,RAISE1SEC,False,9695,0.0,10,0.0,0.0,0.0,1,1,1
MANNUMB1,RAISE1SEC,False,7169,47.89668017225144,29,0.0,0.16914676718286623,473.3628800012657,1,3,2
MREHA1,RAISE1SEC,False,6717,0.0,10,0.0,0.0,0.0,1,1,1
PIBESS1,RAISE1SEC,False,9574,0.0,10,0.0,0.0,0.0,1,1,1
QBYNB1,RAISE1SEC,False,898,0.0,10,0.0,0.0,0.0,1,1,1
RANGEB1,RAISE1SEC,False,7589,0.0,10,0.0,0.0,0.0,1,1,1
RESS1,RAISE1SEC,False,2492,0.0,10,0.0,0.0,0.0,1,1,1
RIVNB2,RAISE1SEC,False,8447,0.0,10,0.0,0.0,0.0,1,1,1
TB2B1,RAISE1SEC,False,10043,0.0,10,0.0,0.0,0.0,1,1,1
TIB1,RAISE1SEC,False,7762,0.0,10,0.0,0.0,0.0,1,1,1
ULPBESS1,RAISE1SEC,False,2,0.0,10,0.0,0.0,0.0,1,1,1
WANDB1,RAISE1SEC,False,7063,0.0,10,0.0,0.0,0.0,1,1,1
WDBESS1,RAISE1SEC,False,8175,0.0,10,0.0,0.0,0.0,1,1,1
WTAHB1,RAISE1SEC,False,1726,1081.6902506350584,20,0.09323967481196382,14.631169771493362,7475.584167724012,2,2,2
ADPBA1,RAISE5MIN,False,5832,0.0,10,0.0,0.0,0.0,1,1,1
BALB1,RAISE5MIN,False,8978,0.0,10,0.0,0.0,0.0,1,1,1
BLYTHB1,RAISE5MIN,False,6841,0.0,10,0.0,0.0,0.0,1,1,1
BOWWBA1,RAISE5MIN,False,5834,0.0,10,0.0,0.0,0.0,1,1,1
BULBES1,RAISE5MIN,False,7472,0.0,10,0.0,0.0,0.0,1,1,1
CAPBES1,RAISE5MIN,False,95,0.0,10,0.0,0.0,0.0,1,1,1
CBWWBA1,RAISE5MIN,False,5825,0.0,10,0.0,0.0,0.0,1,1,1
CHBESS1,RAISE5MIN,False,7104,46.77825842141098,16,0.0,14.806985238480946,46.97761663018368,1,2,2
DALNTH1,RAISE5MIN,False,26,0.0,10,0.0,0.0,0.0,1,1,1
DPNTB1,RAISE5MIN,False,8932,0.0,10,0.0,0.0,0.0,1,1,1
GANNB1,RAISE5MIN,False,8969,0.0,10,0.0,0.0,0.0,1,1,1
GREENB1,RAISE5MIN,False,7675,41.59659214625651,15,0.0,14.636712332961984,0.0,1,2,1
HBESS1,RAISE5MIN,False,9675,0.0,10,0.0,0.0,0.0,1,1,1
HVWWBA1,RAISE5MIN,False,5822,0.0,10,0.0,0.0,0.0,1,1,1
LBB1,RAISE5MIN,False,9455,0.0,10,0.0,0.0,0.0,1,1,1
LVES1,RAISE5MIN,False,9695,0.0,10,0.0,0.0,0.0,1,1,1
MANNUMB1,RAISE5MIN,False,7152,47.953541282528434,29,0.0,0.16934762573997938,473.9248919454519,1,3,2
MREHA1,RAISE5MIN,False,6717,0.0,10,0.0,0.0,0.0,1,1,1
PIBESS1,RAISE5MIN,False,9574,0.0,10,0.0,0.0,0.0,1,1,1
QBYNB1,RAISE5MIN,False,898,0.0,10,0.0,0.0,0.0,1,1,1
RANGEB1,RAISE5MIN,False,7589,0.0,10,0.0,0.0,0.0,1,1,1
RESS1,RAISE5MIN,False,2492,0.0,10,0.0,0.0,0.0,1,1,1
RIVNB2,RAISE5MIN,False,8447,0.0,10,0.0,0.0,0.0,1,1,1
TB2B1,RAISE5MIN,False,10043,0.0,10,0.0,0.0,0.0,1,1,1
TIB1,RAISE5MIN,False,7881,0.0,10,0.0,0.0,0.0,1,1,1
ULPBESS1,RAISE5MIN,False,2,0.0,10,0.0,0.0,0.0,1,1,1
WANDB1,RAISE5MIN,False,7303,0.0,10,0.0,0.0,0.0,1,1,1
WDBESS1,RAISE5MIN,False,8175,0.0,10,0.0,0.0,0.0,1,1,1
WTAHB1,RAISE5MIN,False,1726,1068.1194024455267,20,0.03356628293230697,6.314190778266189,7475.5841677240105,2,2,2
ADPBA1,RAISE60SEC,False,5832,0.0,10,0.0,0.0,0.0,1,1,1
BALB1,RAISE60SEC,False,8978,0.0,10,0.0,0.0,0.0,1,1,1
BLYTHB1,RAISE60SEC,False,6811,0.0,10,0.0,0.0,0.0,1,1,1
BOWWBA1,RAISE60SEC,False,5834,0.0,10,0.0,0.0,0.0,1,1,1
BULBES1,RAISE60SEC,False,7498,0.0,10,0.0,0.0,0.0,1,1,1
CAPBES1,RAISE60SEC,False,95,0.0,10,0.0,0.0,0.0,1,1,1
CBWWBA1,RAISE60SEC,False,5825,0.0,10,0.0,0.0,0.0,1,1,1
CHBESS1,RAISE60SEC,False,7104,46.77825842141097,16,0.0,14.806985238480937,46.97761663018367,1,2,2
DALNTH1,RAISE60SEC,False,26,0.0,10,0.0,0.0,0.0,1,1,1
DPNTB1,RAISE60SEC,False,8932,0.0,10,0.0,0.0,0.0,1,1,1
GANNB1,RAISE60SEC,False,8969,0.0,10,0.0,0.0,0.0,1,1,1
GREENB1,RAISE60SEC,False,7675,41.59659214625649,15,0.0,14.636712332962,0.0,1,2,1
HBESS1,RAISE60SEC,False,9675,0.0,10,0.0,0.0,0.0,1,1,1
HVWWBA1,RAISE60SEC,False,5822,0.0,10,0.0,0.0,0.0,1,1,1
LBB1,RAISE60SEC,False,9455,0.0,10,0.0,0.0,0.0,1,1,1
LVES1,RAISE60SEC,False,9695,0.0,10,0.0,0.0,0.0,1,1,1
MANNUMB1,RAISE60SEC,False,7152,47.95354128252845,29,0.0,0.16934762573997955,473.92489194545203,1,3,2
MREHA1,RAISE60SEC,False,6717,0.0,10,0.0,0.0,0.0,1,1,1
PIBESS1,RAISE60SEC,False,9574,0.0,10,0.0,0.0,0.0,1,1,1
QBYNB1,RAISE60SEC,False,898,0.0,10,0.0,0.0,0.0,1,1,1
RANGEB1,RAISE60SEC,False,7589,0.0,10,0.0,0.0,0.0,1,1,1
RESS1,RAISE60SEC,False,2492,0.0,10,0.0,0.0,0.0,1,1,1
RIVNB2,RAISE60SEC,False,8447,0.0,10,0.0,0.0,0.0,1,1,1
TB2B1,RAISE60SEC,False,10043,0.0,10,0.0,0.0,0.0,1,1,1
TIB1,RAISE60SEC,False,7763,0.0,10,0.0,0.0,0.0,1,1,1
ULPBESS1,RAISE60SEC,False,2,0.0,10,0.0,0.0,0.0,1,1,1
WANDB1,RAISE60SEC,False,7064,0.0,10,0.0,0.0,0.0,1,1,1
WDBESS1,RAISE60SEC,False,8175,0.0,10,0.0,0.0,0.0,1,1,1
WTAHB1,RAISE60SEC,False,1726,1082.5368668823508,20,0.10815802278187797,15.541188997658121,7475.58416772401,2,2,2
ADPBA1,RAISE6SEC,False,5832,0.0,10,0.0,0.0,0.0,1,1,1
BALB1,RAISE6SEC,False,8978,0.0,10,0.0,0.0,0.0,1,1,1
BLYTHB1,RAISE6SEC,False,6869,0.0,10,0.0,0.0,0.0,1,1,1
BOWWBA1,RAISE6SEC,False,5834,0.0,10,0.0,0.0,0.0,1,1,1
BULBES1,RAISE6SEC,False,7476,0.0,10,0.0,0.0,0.0,1,1,1
CAPBES1,RAISE6SEC,False,95,0.0,10,0.0,0.0,0.0,1,1,1
CBWWBA1,RAISE6SEC,False,5825,0.0,10,0.0,0.0,0.0,1,1,1
CHBESS1,RAISE6SEC,False,7104,46.77825842141093,16,0.0,14.80698523848092,46.97761663018345,1,2,2
DALNTH1,RAISE6SEC,False,26,0.0,10,0.0,0.0,0.0,1,1,1
DPNTB1,RAISE6SEC,False,8932,0.0,10,0.0,0.0,0.0,1,1,1
GANNB1,RAISE6SEC,False,8969,0.0,10,0.0,0.0,0.0,1,1,1
GREENB1,RAISE6SEC,False,7675,41.5965921462565,15,0.0,14.636712332962006,0.0,1,2,1
HBESS1,RAISE6SEC,False,9675,0.0,10,0.0,0.0,0.0,1,1,1
HVWWBA1,RAISE6SEC,False,5822,0.0,10,0.0,0.0,0.0,1,1,1
LBB1,RAISE6SEC,False,9455,0.0,10,0.0,0.0,0.0,1,1,1
LVES1,RAISE6SEC,False,9695,0.0,10,0.0,0.0,0.0,1,1,1
MANNUMB1,RAISE6SEC,False,7158,47.93344840797688,29,0.0,0.16927665280320778,473.72630628005027,1,3,2
MREHA1,RAISE6SEC,False,6717,0.0,10,0.0,0.0,0.0,1,1,1
PIBESS1,RAISE6SEC,False,9574,0.0,10,0.0,0.0,0.0,1,1,1
QBYNB1,RAISE6SEC,False,898,0.0,10,0.0,0.0,0.0,1,1,1
RANGEB1,RAISE6SEC,False,7589,0.0,10,0.0,0.0,0.0,1,1,1
RESS1,RAISE6SEC,False,2492,0.0,10,0.0,0.0,0.0,1,1,1
RIVNB2,RAISE6SEC,False,8447,0.0,10,0.0,0.0,0.0,1,1,1
TB2B1,RAISE6SEC,False,10043,0.0,10,0.0,0.0,0.0,1,1,1
TIB1,RAISE6SEC,False,7763,0.0,10,0.0,0.0,0.0,1,1,1
ULPBESS1,RAISE6SEC,False,2,0.0,10,0.0,0.0,0.0,1,1,1
WANDB1,RAISE6SEC,False,7064,0.0,10,0.0,0.0,0.0,1,1,1
WDBESS1,RAISE6SEC,False,8175,0.0,10,0.0,0.0,0.0,1,1,1
WTAHB1,RAISE6SEC,False,1726,1082.536866882351,20,0.10815802278187801,15.541188997658121,7475.58416772401,2,2,2
ADPBA1,RAISEREG,False,11664,0.0,10,0.0,0.0,0.0,1,1,1
BALB1,RAISEREG,False,17966,8.096225323889215,18,0.0,10.000278315080557,0.5000139157540253,1,2,2
BLYTHB1,RAISEREG,False,354,13.259240986025398,18,0.0,1.4220099090031393,0.0,1,2,1
BOWWBA1,RAISEREG,False,11668,0.0,10,0.0,0.0,0.0,1,1,1
BULBES1,RAISEREG,False,16024,0.0,10,0.0,0.0,0.0,1,1,1
CAPBES1,RAISEREG,False,8288,253.5543556108965,20,0.0,0.8484279395459954,2471.786282014524,1,2,2
CBWWBA1,RAISEREG,False,11650,0.0,10,0.0,0.0,0.0,1,1,1
CHBESS1,RAISEREG,False,14256,42.06578073851604,15,0.0,14.801807070306413,0.0,1,2,1
DPNTB1,RAISEREG,False,17876,8.09622645837125,18,0.0,10.000279716367658,0.5000139858183829,1,2,2
GANNB1,RAISEREG,False,17938,8.101225814993985,18,0.0,10.000278749529665,0.5000139374764836,1,2,2
GREENB1,RAISEREG,False,15410,41.59897323834705,15,0.0,14.637550174673766,0.0,1,2,1
HBESS1,RAISEREG,False,19350,51.71383629210452,12,0.0,0.0,0.0,1,1,1
HVWWBA1,RAISEREG,False,11644,0.0,10,0.0,0.0,0.0,1,1,1
LBB1,RAISEREG,False,18904,0.0,10,0.0,0.0,0.0,1,1,1
LVES1,RAISEREG,False,19390,46.72270482999621,17,0.0,5.915152532975768,0.0,1,2,1
MANNUMB1,RAISEREG,False,16174,51.58603220258169,19,0.0,0.16676447149769283,445.6836088933013,1,2,2
MREHA1,RAISEREG,False,13434,39.424572293389424,47,1.163811549402873,11.184699845856189,0.0,4,5,1
PIBESS1,RAISEREG,False,19148,0.0,10,0.0,0.0,0.0,1,1,1
QBYNB1,RAISEREG,False,1796,1.5314264030162046,19,0.2500696281868396,0.005001392563737132,0.0,2,2,1
RANGEB1,RAISEREG,False,14564,1.9485668978421908,18,0.0,0.6200212864573533,0.0,1,2,1
RESS1,RAISEREG,False,4814,1.9487024100145696,18,0.0,0.6200644055473585,0.0,1,2,1
RIVNB2,RAISEREG,False,16910,8.096239395597133,18,0.0,10.000295696142711,0.5000147848071358,1,2,2
TB2B1,RAISEREG,False,20086,106.47007601670177,23,0.1000024893889798,3.002099752080085,0.0,2,3,1
TIB1,RAISEREG,False,15214,1.630053571722034,12,0.0,0.0,0.0,1,1,1
ULPBESS1,RAISEREG,False,6,1521.9218553500918,19,0.0,15.114963005798815,10350.677092184194,1,2,2
WANDB1,RAISEREG,False,13304,0.0,10,0.0,0.0,0.0,1,1,1
WDBESS1,RAISEREG,False,16350,0.0,10,0.0,0.0,0.0,1,1,1
WTAHB1,RAISEREG,False,3452,1099.0205090831732,19,0.0,10.914919369224192,7474.500985197462,1,2,2
